Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
cugo214412879,36,4.8,11.001852,76.976268,11.091852,77.066268,2022-03-06,19:10:00,19:15:00,Stormy,Jam ,van,Metropolitian ,135,Electronics
vvfa736119633,35,4.9,17.440827,78.393391,17.490827,78.443391,2022-03-19,17:55:00,18:10:00,Windy,Medium ,scooter ,Metropolitian ,160,Clothing
tuue597674751,25,4.7,12.323978,76.627961,12.343978,76.647961,2022-03-11,09:55:00,10:00:00,Stormy,Low ,scooter ,Metropolitian ,85,Shoes
oysh983435493,24,4.5,26.905287,75.794592,26.955287,75.844592,2022-03-17,19:45:00,20:00:00,Sandstorms,Jam ,scooter ,Metropolitian ,120,Clothing
qhmk943441821,25,4.9,22.753659,75.903365,22.863659,76.013365,2022-04-02,17:15:00,17:20:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,Shoes
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors
whof896894113,24,4.7,22.751857,75.866699,22.831857,75.946699,2022-03-25,21:30:00,21:45:00,Windy,Jam ,motorcycle ,Metropolitian ,170,Shoes
fdio572560598,35,4.3,26.902328,75.794257,26.942328,75.834257,2022-03-15,12:40:00,12:55:00,Sandstorms,High ,motorcycle ,Metropolitian ,190,Clothing
cqgf277187595,25,4.6,23.374989,85.335486,23.464989,85.425486,2022-03-16,20:00:00,20:05:00,Sandstorms,Jam ,scooter ,Metropolitian ,80,Kitchen
grdr231478803,39,5.0,21.157735,72.768778,21.177735,72.788778,2022-03-17,08:15:00,08:20:00,Stormy,Low ,scooter ,Metropolitian ,135,Cosmetics
phcc600421279,23,4.7,12.323994,76.626167,12.433994,76.736167,2022-03-23,22:15:00,22:20:00,Windy,Low ,motorcycle ,Urban ,110,Pet Supplies
zhao551529857,36,4.9,13.091809,80.219104,13.111809,80.239104,2022-04-03,08:20:00,08:30:00,Sunny,Low ,motorcycle ,Metropolitian ,130,Toys
mbag630745668,34,4.5,21.149834,72.778666,21.199834,72.828666,2022-03-15,20:30:00,20:35:00,Sunny,Jam ,scooter ,Metropolitian ,80,Shoes
cmcp069376036,36,4.8,22.75004,75.902847,22.83004,75.982847,2022-04-06,23:00:00,23:10:00,Sunny,Low ,motorcycle ,Metropolitian ,150,Shoes
eldz626384741,29,4.8,26.910262,75.783013,26.940262,75.813013,2022-03-28,19:00:00,19:15:00,Sunny,Medium ,motorcycle ,Urban ,85,Electronics
qcxw057914600,34,4.8,21.160437,72.774209,21.270437,72.884209,2022-04-04,21:45:00,22:00:00,Cloudy,Jam ,scooter ,Urban ,215,Skincare
yyqn188999572,28,3.1,12.972793,80.249982,13.062793,80.339982,2022-04-06,23:40:00,23:50:00,Sunny,Low ,scooter ,Urban ,175,Clothing
hmna433858885,23,4.6,19.254567,72.848923,19.284567,72.878923,2022-03-24,19:40:00,19:55:00,Cloudy,Jam ,scooter ,Other,165,Cosmetics
vwoq561229732,35,4.7,19.22384,72.841347,19.25384,72.871347,2022-03-03,22:00:00,22:15:00,Sunny,Jam ,van,Metropolitian ,80,Shoes
mlpy396950144,23,4.8,22.753839,75.897429,22.783839,75.927429,2022-03-11,20:55:00,21:10:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,135,Pet Supplies
gybe471445711,20,4.9,0.0,0.0,0.05,0.05,2022-02-15,21:35:00,21:50:00,Windy,Jam ,scooter ,Metropolitian ,130,Skincare
gxan859732316,33,4.9,22.547186,88.35068,22.567186,88.37068,2022-02-17,11:20:00,11:35:00,Stormy,High ,motorcycle ,Metropolitian ,36,Grocery
fwen448400427,37,4.6,21.175975,72.795503,21.285975,72.905503,2022-04-02,20:35:00,20:45:00,Cloudy,Jam ,motorcycle ,Urban ,190,Jewelry
cezz369758301,30,4.8,13.049645,80.242268,13.059645,80.252268,2022-03-07,09:45:00,09:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,120,Electronics
jaza125792436,23,4.9,23.359194,85.325447,23.419194,85.385447,2022-03-03,22:55:00,23:00:00,Stormy,Low ,motorcycle ,Metropolitian ,95,Books
yybq455735644,33,5.0,17.45971,78.368855,17.49971,78.408855,2022-04-01,16:10:00,16:20:00,Windy,Medium ,scooter ,Metropolitian ,140,Shoes
leio461536174,32,4.6,17.430448,78.418213,17.500448,78.488213,2022-03-31,23:45:00,23:50:00,Sandstorms,Low ,scooter ,Metropolitian ,95,Home
keqv101532863,30,4.9,22.751857,75.866699,22.831857,75.946699,2022-03-06,23:35:00,23:40:00,Windy,Low ,motorcycle ,Metropolitian ,145,Clothing
plnb992722353,31,4.6,17.411028,78.329645,17.481028,78.399645,2022-03-12,23:55:00,00:10:00,Windy,Low ,motorcycle ,Metropolitian ,130,Skincare
zxfk691984257,35,4.4,11.010375,76.95295,11.020375,76.96295,2022-03-28,11:25:00,11:30:00,Stormy,High ,scooter ,Urban ,165,Pet Supplies
hdaw054655162,31,4.3,0.0,0.0,0.07,0.07,2022-03-18,18:25:00,18:30:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,180,Books
aenc107548587,36,4.7,26.471617,80.313564,26.581617,80.423564,2022-02-18,17:35:00,17:50:00,Sandstorms,Medium ,scooter ,Metropolitian ,135,Toys
rvjl439707358,20,4.7,12.972532,77.608179,12.992532,77.628179,2022-03-19,11:10:00,11:25:00,Fog,High ,scooter ,Urban ,140,Outdoors
bsih133718955,30,3.7,22.744648,75.894377,22.834648,75.984377,2022-03-14,19:20:00,19:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,190,Jewelry
pwph580202456,30,4.9,13.086438,80.220672,13.106438,80.240672,2022-03-26,08:25:00,08:30:00,Fog,Low ,scooter ,Urban ,80,Jewelry
tdid112856752,20,5.0,18.546258,73.904337,18.656258,74.014337,2022-04-06,18:30:00,18:40:00,Fog,Medium ,motorcycle ,Metropolitian ,135,Apparel
tdgw259085676,22,4.7,12.311072,76.654878,12.401072,76.744878,2022-03-02,22:40:00,22:55:00,Sunny,Low ,motorcycle ,Metropolitian ,28,Grocery
fnxo696353674,31,4.8,12.304569,76.643622,12.344569,76.683622,2022-03-13,16:25:00,16:30:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,Electronics
xxab784557144,39,4.9,12.939496,77.625999,12.959496,77.645999,2022-04-05,09:30:00,09:40:00,Sunny,Low ,scooter ,Urban ,65,Cosmetics
ulzk913297326,33,4.1,19.866969,75.318894,19.956969,75.408894,2022-02-16,23:55:00,00:05:00,Cloudy,Low ,scooter ,Metropolitian ,160,Skincare
uwek021890460,21,5.0,12.914264,77.6784,12.994264,77.7584,2022-03-04,23:30:00,23:35:00,Windy,Low ,scooter ,Urban ,50,Clothing
ahdp825027890,20,4.8,17.429585,78.392621,17.449585,78.412621,2022-04-03,11:55:00,12:10:00,Sandstorms,High ,scooter ,Urban ,135,Snacks
ihvx126447141,32,4.8,12.933284,77.615428,13.023284,77.705428,2022-03-23,19:35:00,19:50:00,Fog,Jam ,motorcycle ,Metropolitian ,235,Pet Supplies
jrhb803845168,38,4.9,22.539129,88.365507,22.629129,88.455507,2022-02-12,22:35:00,22:50:00,Sunny,Low ,motorcycle ,Metropolitian ,120,Toys
qiop390358837,21,4.5,30.914057,75.83982,30.924057,75.84982,2022-02-13,09:10:00,09:20:00,Windy,Low ,van,Metropolitian ,65,Clothing
galu947868423,38,4.7,26.892312,75.806896,26.942312,75.856896,2022-03-01,21:55:00,22:00:00,Cloudy,Jam ,scooter ,Metropolitian ,140,Cosmetics
ixuw250277004,21,4.8,18.55144,73.804855,18.63144,73.884855,2022-03-18,20:40:00,20:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,135,Apparel
ycmo580231665,31,4.6,26.910262,75.783013,26.930262,75.803013,2022-03-03,11:20:00,11:30:00,Stormy,High ,motorcycle ,Metropolitian ,175,Outdoors
fopp513152008,32,4.9,30.914057,75.83982,30.974057,75.89982,2022-02-11,19:25:00,19:30:00,Fog,Jam ,motorcycle ,Metropolitian ,140,Sports
kbff652215877,23,4.8,12.975996,80.221898,13.015996,80.261898,2022-03-30,12:20:00,12:35:00,Stormy,High ,scooter ,Urban ,60,Pet Supplies
faea294530784,26,4.5,12.337978,76.616792,12.357978,76.636792,2022-03-21,09:35:00,09:40:00,Sandstorms,Low ,motorcycle ,Metropolitian ,90,Kitchen
zwyr077293917,22,5.0,22.725748,75.898497,22.855747,76.028497,2022-03-27,20:45:00,20:50:00,Cloudy,Jam ,scooter ,Metropolitian ,220,Cosmetics
qkbm802866338,34,4.9,12.933298,77.614293,13.043298,77.724293,2022-03-18,22:20:00,22:35:00,Sunny,Low ,scooter ,Metropolitian ,125,Shoes
xyay828468136,35,4.9,13.044694,80.26147,13.094694,80.31147,2022-04-03,17:45:00,17:50:00,Stormy,Medium ,motorcycle ,Metropolitian ,135,Sports
cvfc485567800,20,4.9,26.914142,75.805704,26.924142,75.815704,2022-03-19,09:15:00,09:20:00,Stormy,Low ,motorcycle ,Metropolitian ,65,Skincare
rcsj570503798,27,4.7,22.761593,75.886362,22.781593,75.906362,2022-03-01,10:15:00,10:30:00,Sunny,Low ,motorcycle ,Metropolitian ,55,Outdoors
lbhy260462569,27,4.7,17.45971,78.368855,17.53971,78.448855,2022-03-12,23:30:00,23:45:00,Fog,Low ,motorcycle ,Metropolitian ,120,Toys
gzii017070528,38,4.9,21.186884,72.793616,21.316884,72.923616,2022-03-16,17:40:00,17:55:00,Windy,Medium ,motorcycle ,Metropolitian ,200,Sports
upny296813156,23,4.9,12.3085,76.665808,12.3285,76.685808,2022-03-11,09:10:00,09:20:00,Fog,Low ,van,Metropolitian ,50,Apparel
sftz979917084,25,4.7,25.454697,81.834492,25.584697,81.964492,2022-02-14,17:20:00,17:35:00,Cloudy,Medium ,motorcycle ,Metropolitian ,175,Home
ucrh245047910,37,4.6,15.157944,73.950889,15.247944,74.040889,2022-02-16,19:10:00,19:15:00,Fog,Jam ,motorcycle ,Metropolitian ,48,Grocery
nqhl537400846,23,4.6,21.185047,72.80859,21.295047,72.91859,2022-03-04,21:20:00,21:35:00,Sandstorms,Jam ,scooter ,Metropolitian ,145,Skincare
xjwp723793274,21,4.4,17.411028,78.329645,17.501028,78.419645,2022-03-14,19:50:00,19:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,175,Sports
xvjs661096291,36,4.8,12.972793,80.249982,12.982793,80.259982,2022-03-21,11:35:00,11:40:00,Cloudy,High ,motorcycle ,Metropolitian ,135,Books
jlpm485023316,39,4.8,21.186438,72.794115,21.236438,72.844115,2022-03-30,23:35:00,23:45:00,Sunny,Low ,scooter ,Metropolitian ,65,Cosmetics
vddo085321117,38,4.1,22.695207,75.866059,22.725207,75.896059,2022-03-21,18:30:00,18:40:00,Stormy,Medium ,scooter ,Metropolitian ,160,Snacks
qtjd148443879,37,4.7,0.0,0.0,0.05,0.05,2022-03-26,17:50:00,18:00:00,Fog,Medium ,scooter ,Metropolitian ,90,Books
ixvy391453296,38,4.5,15.56155,73.749092,15.64155,73.829092,2022-02-12,23:35:00,23:45:00,Cloudy,Low ,scooter ,Metropolitian ,125,Cosmetics
vuyq992348104,33,4.2,18.546258,73.904337,18.606258,73.964337,2022-04-01,20:45:00,20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian ,155,Books
lqsd265723435,39,4.6,22.727021,75.884167,22.757021,75.914167,2022-03-21,21:00:00,21:10:00,Fog,Jam ,motorcycle ,Metropolitian ,140,Books
yjbw190337498,39,4.9,18.530963,73.828972,18.550963,73.848972,2022-03-30,09:25:00,09:30:00,Fog,Low ,motorcycle ,Metropolitian ,105,Outdoors
pomj786416282,27,4.8,23.371292,85.327872,23.381292,85.337872,2022-03-28,08:40:00,08:45:00,Sunny,Low ,scooter ,Urban ,110,Clothing
gesq588543542,25,4.9,12.310972,76.659264,12.330972,76.679264,2022-03-03,10:25:00,10:35:00,Stormy,Low ,scooter ,Urban ,85,Snacks
vtjg042124168,32,3.5,13.049645,80.242268,13.119645,80.312268,2022-04-02,18:00:00,18:05:00,Sandstorms,Medium ,scooter ,Urban ,33,Grocery
qgvb026562181,33,5.0,18.592718,73.773572,18.702718,73.883572,2022-03-27,22:25:00,22:40:00,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry
cncl866915421,24,4.4,19.207222,72.972281,19.317222,73.082281,2022-03-20,17:55:00,18:00:00,Fog,Medium ,motorcycle ,Urban ,195,Clothing
fmni717701920,37,4.2,19.221315,72.862381,19.271315,72.912381,2022-03-17,18:10:00,18:20:00,Stormy,Medium ,motorcycle ,Metropolitian ,180,Snacks
xhze038112556,22,4.5,30.895204,75.822103,30.935204,75.862103,2022-02-11,15:45:00,16:00:00,Sunny,Medium ,motorcycle ,Urban ,105,Sports
fyse385199736,23,4.7,11.021278,76.995017,11.131278,77.105017,2022-03-31,22:00:00,22:10:00,Cloudy,Jam ,motorcycle ,Metropolitian ,200,Home
sbmj771106477,21,4.8,18.546947,73.900626,18.576947,73.930626,2022-03-11,21:50:00,21:55:00,Cloudy,Jam ,motorcycle ,Metropolitian ,145,Skincare
zeeb860592210,34,4.6,22.745049,75.892471,22.835049,75.982471,2022-03-23,22:00:00,22:15:00,Sunny,Jam ,motorcycle ,Urban ,110,Cosmetics
wtaa310265263,38,4.7,13.086438,80.220672,13.136439,80.270672,2022-03-17,17:55:00,18:00:00,Windy,Medium ,scooter ,Urban ,130,Clothing
aavg384213040,36,4.8,0.0,0.0,0.03,0.03,2022-03-09,18:10:00,18:25:00,Sandstorms,Medium ,scooter ,Metropolitian ,155,Outdoors
llkt745948990,36,4.9,23.371292,85.327872,23.411292,85.367872,2022-03-30,13:30:00,13:45:00,Sandstorms,High ,motorcycle ,Metropolitian ,240,Outdoors
ksdu559776740,37,4.7,26.892312,75.806896,26.982312,75.896896,2022-03-23,22:30:00,22:40:00,Windy,Low ,motorcycle ,Metropolitian ,145,Pet Supplies
gepj456195376,28,5.0,26.891191,75.802083,26.901191,75.812083,2022-03-09,11:40:00,11:45:00,Sandstorms,High ,scooter ,Metropolitian ,75,Outdoors
gnkc232530526,26,4.5,17.455894,78.375467,17.475894,78.395467,2022-03-19,08:45:00,08:55:00,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Sports
ndss113004599,24,5.0,17.41233,78.449654,17.44233,78.479654,2022-03-11,18:50:00,19:05:00,Cloudy,Medium ,motorcycle ,Urban ,75,Toys
dxap027100538,33,4.7,26.921411,75.793604,26.931411,75.803604,2022-03-11,08:40:00,08:50:00,Stormy,Low ,scooter ,Metropolitian ,110,Sports
zlsl740652234,29,5.0,21.186884,72.793616,21.296884,72.903616,2022-03-16,23:40:00,23:45:00,Cloudy,Low ,motorcycle ,Metropolitian ,100,Jewelry
mhdg981604473,33,4.8,11.008638,76.984311,11.138638,77.114311,2022-03-10,00:00:00,00:15:00,Stormy,Low ,scooter ,Metropolitian ,115,Toys
ukxa115983426,26,4.9,25.457687,81.835585,25.527687,81.905585,2022-02-16,17:10:00,17:20:00,Windy,Medium ,scooter ,Metropolitian ,23,Grocery
mfcq658730458,25,4.9,26.766536,75.837333,26.816536,75.887333,2022-03-11,21:35:00,21:45:00,Sunny,Jam ,motorcycle ,Metropolitian ,10,Grocery
szhl611436287,31,4.7,18.569156,73.774723,18.609156,73.814723,2022-03-05,16:25:00,16:30:00,Cloudy,Medium ,motorcycle ,Urban ,140,Home
mbir640815216,31,4.6,22.732225,75.874765,22.772225,75.914765,2022-03-24,12:55:00,13:00:00,Stormy,High ,motorcycle ,Metropolitian ,135,Pet Supplies
akip873768279,35,4.3,11.001753,76.986241,11.061753,77.046241,2022-03-26,23:20:00,23:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,135,Pet Supplies
bnoc970010542,34,4.7,26.956431,75.776649,26.976431,75.796649,2022-03-03,11:30:00,11:45:00,Sandstorms,High ,scooter ,Metropolitian ,130,Shoes
iobm106180593,29,5.0,17.431668,78.408321,17.501668,78.478321,2022-03-02,19:15:00,19:25:00,Cloudy,Jam ,motorcycle ,Metropolitian ,48,Grocery
aalq500110937,33,5.0,18.563934,73.915367,18.673935,74.025367,2022-03-10,23:20:00,23:25:00,Sunny,Low ,scooter ,Urban ,95,Clothing
dufo978751909,31,4.8,13.026286,80.275235,13.046286,80.295235,2022-04-03,09:15:00,09:30:00,Stormy,Low ,motorcycle ,Urban ,135,Shoes
wcft038252292,25,4.1,17.455894,78.375467,17.535894,78.455467,2022-03-12,18:00:00,18:05:00,Cloudy,Medium ,motorcycle ,Metropolitian ,175,Kitchen
hnqv058755510,24,4.8,0.0,0.0,0.11,0.11,2022-03-06,21:20:00,21:30:00,Windy,Jam ,scooter ,Metropolitian ,135,Pet Supplies
zoju597951464,31,4.8,0.0,0.0,0.07,0.07,2022-03-04,23:25:00,23:40:00,Sandstorms,Low ,scooter ,Urban ,16,Grocery
ohfs124543750,39,4.5,12.975996,80.221898,12.995996,80.241898,2022-03-11,08:55:00,09:05:00,Cloudy,Low ,van,Metropolitian ,85,Toys
dici497667188,32,4.9,0.0,0.0,0.03,0.03,2022-02-15,18:20:00,18:30:00,Stormy,Medium ,motorcycle ,Metropolitian ,33,Grocery
ndxu875989252,28,4.6,18.533811,73.899315,18.593811,73.959315,2022-03-26,20:10:00,20:20:00,Fog,Jam ,motorcycle ,Metropolitian ,105,Electronics
zdhb809051241,25,4.8,11.02091,76.940432,11.08091,77.000432,2022-03-17,22:50:00,23:05:00,Stormy,Low ,motorcycle ,Metropolitian ,90,Cosmetics
mwnt885527571,27,4.9,19.876428,75.364792,19.986428,75.474792,2022-02-14,23:55:00,00:00:00,Windy,Low ,motorcycle ,Metropolitian ,60,Snacks
umpd940891511,34,4.1,19.103249,72.846749,19.193249,72.936749,2022-03-20,21:30:00,21:35:00,Windy,Jam ,van,Metropolitian ,155,Pet Supplies
kkyh385456144,38,4.5,12.979096,77.640625,13.009096,77.670625,2022-03-21,18:10:00,18:20:00,Sunny,Medium ,motorcycle ,Metropolitian ,110,Home
nndh958968289,22,4.6,22.725748,75.898497,22.795748,75.968497,2022-03-12,22:00:00,22:05:00,Cloudy,Jam ,motorcycle ,Metropolitian ,195,Sports
zdds382137646,27,4.8,19.055831,72.833984,19.085831,72.863984,2022-03-21,18:35:00,18:45:00,Stormy,Medium ,motorcycle ,Urban ,120,Apparel
ushl268674968,24,4.8,18.543626,73.905101,18.623626,73.985101,2022-03-12,21:15:00,21:25:00,Sunny,Jam ,motorcycle ,Metropolitian ,130,Electronics
hcun762076064,37,4.9,13.064181,80.236442,13.084181,80.256442,2022-03-21,10:40:00,10:45:00,Stormy,Low ,scooter ,Metropolitian ,125,Sports
qaoc804539218,37,4.8,18.536718,73.830327,18.566719,73.860327,2022-04-01,22:00:00,22:10:00,Cloudy,Jam ,scooter ,Metropolitian ,30,Grocery
zfmj405649922,30,4.8,26.891191,75.802083,26.951191,75.862083,2022-03-11,18:15:00,18:20:00,Sandstorms,Medium ,scooter ,Metropolitian ,160,Kitchen
prdu821379576,23,4.8,21.15276,72.778059,21.16276,72.788059,2022-03-19,08:55:00,09:10:00,Fog,Low ,motorcycle ,Metropolitian ,65,Kitchen
jwkh089407990,36,4.8,26.913726,75.75282,26.953726,75.792821,2022-03-24,14:35:00,14:50:00,Stormy,High ,motorcycle ,Metropolitian ,125,Skincare
tjij598244483,23,4.8,22.745049,75.892471,22.755049,75.902471,2022-03-30,08:40:00,08:45:00,Fog,Low ,motorcycle ,Metropolitian ,85,Snacks
flgp305048499,32,4.2,26.49095,80.318656,26.53095,80.358656,2022-02-13,12:10:00,12:20:00,Sandstorms,High ,motorcycle ,Metropolitian ,230,Pet Supplies
kbch040741582,32,4.5,18.533811,73.899315,18.593811,73.959315,2022-03-09,22:25:00,22:40:00,Fog,Low ,scooter ,Metropolitian ,75,Clothing
wdrd207705092,21,4.9,26.846156,75.8023,26.856156,75.8123,2022-03-03,08:45:00,08:55:00,Sunny,Low ,motorcycle ,Metropolitian ,100,Clothing
ngcz194121616,37,4.8,18.516216,73.842527,18.526216,73.852527,2022-04-01,09:50:00,10:00:00,Cloudy,Low ,motorcycle ,Urban ,90,Clothing
dshh832032376,28,4.8,18.543626,73.905101,18.573626,73.935101,2022-03-30,20:30:00,20:35:00,Windy,Jam ,motorcycle ,Metropolitian ,90,Outdoors
mjyx391097761,34,5.0,12.334022,76.618203,12.364022,76.648203,2022-03-28,18:15:00,18:20:00,Cloudy,Medium ,scooter ,Metropolitian ,75,Home
ytnx524268507,27,4.9,21.160437,72.774209,21.230437,72.844209,2022-03-27,23:45:00,23:55:00,Sunny,Low ,motorcycle ,Metropolitian ,105,Outdoors
wuog308680277,20,4.6,12.321214,76.621094,12.361214,76.661094,2022-03-15,16:45:00,16:55:00,Cloudy,Medium ,motorcycle ,Metropolitian ,130,Jewelry
thtf967990162,24,4.7,11.001753,76.986241,11.131753,77.116241,2022-03-14,23:40:00,23:55:00,Sandstorms,Low ,motorcycle ,Urban ,95,Electronics
elvn659445819,39,4.9,26.914142,75.805704,26.984142,75.875704,2022-03-04,23:50:00,23:55:00,Windy,Low ,scooter ,Metropolitian ,125,Outdoors
fsyg596458736,32,4.2,26.479108,80.315042,26.559108,80.395042,2022-02-14,18:55:00,19:10:00,Stormy,Medium ,motorcycle ,Metropolitian ,245,Toys
tjku735436042,37,4.9,9.957144,76.296783,9.987144,76.326783,2022-02-17,21:15:00,21:25:00,Sandstorms,Jam ,van,Urban ,150,Outdoors
hjwb653891597,29,4.8,22.722634,75.886959,22.792634,75.956959,2022-03-06,23:45:00,00:00:00,Fog,Low ,scooter ,Other,105,Toys
ncor492588071,31,4.6,23.371292,85.327872,23.501292,85.457872,2022-03-14,19:35:00,19:40:00,Sandstorms,Jam ,van,Urban ,145,Pet Supplies
mhdh536684977,37,4.5,11.024839,77.007003,11.114839,77.097003,2022-04-04,23:20:00,23:35:00,Fog,Low ,motorcycle ,Metropolitian ,140,Toys
yrzw582275768,28,4.7,12.949934,77.699386,12.989934,77.739386,2022-03-15,14:35:00,14:50:00,Stormy,High ,motorcycle ,Metropolitian ,55,Kitchen
tljl900850971,27,5.0,9.957144,76.296783,9.997144,76.336783,2022-02-13,15:45:00,16:00:00,Stormy,Medium ,motorcycle ,Urban ,85,Home
guwi047512900,32,4.8,12.323225,76.630028,12.393225,76.700028,2022-03-04,22:30:00,22:40:00,Stormy,Low ,motorcycle ,Metropolitian ,135,Pet Supplies
priw407762352,39,4.6,12.3085,76.665808,12.3485,76.705808,2022-03-17,14:40:00,14:55:00,Windy,High ,motorcycle ,Metropolitian ,170,Cosmetics
gdvd489711655,32,4.3,11.006686,76.951736,11.046686,76.991736,2022-03-21,16:20:00,16:25:00,Windy,Medium ,motorcycle ,Urban ,175,Sports
vmmg790427398,38,4.8,0.0,0.0,0.03,0.03,2022-03-28,22:20:00,22:25:00,Cloudy,Low ,motorcycle ,Urban ,120,Skincare
rils127955584,31,4.6,19.103249,72.846749,19.163249,72.906749,2022-03-17,19:25:00,19:35:00,Windy,Jam ,motorcycle ,Metropolitian ,165,Apparel
uopg483410577,36,4.0,23.374989,85.335486,23.414989,85.375486,2022-03-11,15:35:00,15:45:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,165,Electronics
chyq620541252,30,4.6,12.352058,76.60665,12.382058,76.63665,2022-03-11,19:15:00,19:25:00,Stormy,Jam ,motorcycle ,Metropolitian ,185,Outdoors
adnd435247513,33,4.8,11.026117,76.944652,11.086117,77.004652,2022-03-01,20:10:00,20:20:00,Windy,Jam ,motorcycle ,Metropolitian ,125,Jewelry
lwty821681522,21,4.9,11.021278,76.995017,11.101278,77.075017,2022-03-20,19:25:00,19:30:00,Cloudy,Jam ,motorcycle ,Metropolitian ,180,Skincare
domy023509679,21,5.0,18.51421,73.838429,18.59421,73.918429,2022-03-14,19:40:00,19:55:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,160,Pet Supplies
uqac946966795,35,5.0,22.722634,75.886959,22.792634,75.956959,2022-03-14,21:50:00,22:00:00,Cloudy,Jam ,scooter ,Metropolitian ,235,Pet Supplies
lauz848804616,36,4.6,23.354422,85.3329,23.384422,85.3629,2022-04-01,19:50:00,20:00:00,Stormy,Jam ,scooter ,Metropolitian ,125,Shoes
qacx346625691,24,4.7,23.359194,85.325447,23.409194,85.375447,2022-03-13,19:55:00,20:10:00,Cloudy,Jam ,motorcycle ,Metropolitian ,130,Skincare
onpm594984954,28,4.7,18.994049,72.825203,19.024049,72.855203,2022-04-01,21:40:00,21:45:00,Stormy,Jam ,motorcycle ,Urban ,120,Pet Supplies
losg145205562,29,4.8,11.000762,76.981876,11.040762,77.021876,2022-03-11,16:50:00,17:05:00,Stormy,Medium ,motorcycle ,Metropolitian ,50,Jewelry
fdew847290366,20,4.6,26.473698,80.352677,26.523698,80.402677,2022-02-13,19:40:00,19:50:00,Windy,Jam ,motorcycle ,Metropolitian ,55,Electronics
vxmd355685563,34,5.0,0.0,0.0,0.08,0.08,2022-02-18,23:35:00,23:45:00,Windy,Low ,motorcycle ,Metropolitian ,130,Electronics
xzfm833478514,38,4.1,19.003517,72.82765,19.133517,72.95765,2022-03-02,22:35:00,22:50:00,Fog,Low ,motorcycle ,Metropolitian ,205,Pet Supplies
hfli154321061,30,4.7,22.751857,75.866699,22.761857,75.876699,2022-03-11,10:55:00,11:10:00,Stormy,Low ,motorcycle ,Metropolitian ,100,Jewelry
aiaf436783773,28,4.8,23.351489,85.324253,23.381489,85.354253,2022-03-30,21:45:00,21:50:00,Sunny,Jam ,scooter ,Urban ,95,Electronics
